Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
Xe	Xe	---	---	4.92	4.92	0.0	3.04	3.04	0.0	2.96	0	---	23.9(1.2)
124Xe	Xe	124	0.1	---	---	---	0	0	0	---	0	---	165.(20.)
126Xe	Xe	126	0.09	---	---	---	0	0	0	---	0	---	3.5
128Xe	Xe	128	1.91	---	---	---	0	0	0	---	0	---	<8
129Xe	Xe	129	26.4	---	---	---	---	---	---	---	---	---	21.(5.)
130Xe	Xe	130	4.1	---	---	---	0	0	0	---	0	---	<26.
131Xe	Xe	131	21.2	---	---	---	---	---	---	---	---	---	85.(10.)
132Xe	Xe	132	26.9	---	---	---	0	0	0	---	0	---	0.45
134Xe	Xe	134	10.4	---	---	---	0	0	0	---	0	---	0.265
136Xe	Xe	136	8.9	---	---	---	0	0	0	---	0	---	0.26
Cs	Cs	---	100	5.42	5.42	0.0	1.29	1.29	0.0	3.69	0.21	3.9	29.0(1.5)
Ba	Ba	---	---	5.07	5.07	0.0	---	---	---	3.23	0.15	3.38	1.1
130Ba	Ba	130	0.11	-3.6	-3.6	0.0	0	0	0	1.6	0	1.6	30.(5.)
132Ba	Ba	132	0.1	7.8	7.8	0.0	0	0	0	7.6	0	7.6	7
134Ba	Ba	134	2.42	5.7	5.7	0.0	0	0	0	4.08	0	4.08	2.0(1.6)
135Ba	Ba	135	6.59	4.67	4.67	0.0	---	---	---	2.74	0.5	3.2	5.8
136Ba	Ba	136	7.85	4.91	4.91	0.0	0	0	0	3.03	0	3.03	0.68
137Ba	Ba	137	11.23	6.83	6.83	0.0	---	---	---	5.86	0.5	6.4	3.6
138Ba	Ba	138	71.7	4.84	4.84	0.0	0	0	0	2.94	0	2.94	0.27
La	La	---	---	8.24	8.24	0.0	---	---	---	8.53	1.13	9.66	8.97
138La	La	138	0.09	8.(2.)	8.(2.)	0.0	---	---	---	8.(4.)	0.5	8.5(4.0)	57.(6.)
139La	La	139	99.91	8.24	8.24	0.0	3.0	3.0	0.0	8.53	1.13	9.66	8.93
Ce	Ce	---	---	4.84	4.84	0.0	---	---	---	2.94	0.001	2.94	0.63
136Ce	Ce	136	0.19	5.80	5.80	0.0	0	0	0	4.23	0	4.23	7.3(1.5)
138Ce	Ce	138	0.25	6.70	6.70	0.0	0	0	0	5.64	0	5.64	1.1
140Ce	Ce	140	88.48	4.84	4.84	0.0	0	0	0	2.94	0	2.94	0.57
142Ce	Ce	142	11.08	4.75	4.75	0.0	0	0	0	2.84	0	2.84	0.95
Pr	Pr	---	100	4.58	4.58	0.0	-0.35	-0.35	0.0	2.64	0.015	2.66	11.5
Nd	Nd	---	---	7.69	7.69	0.0	---	---	---	7.43	9.2	16.6	50.5(1.2)
142Nd	Nd	142	27.16	7.7	7.7	0.0	0	0	0	7.5	0	7.5	18.7
143Nd	Nd	143	12.18	14.(2.)	14.(2.)	0.0	(+/-)21.(1.)	(+/-)21.(1.)	0.0	25.(7.)	55.(7.)	80.(2.)	337.(10.)
144Nd	Nd	144	23.8	2.8	2.8	0.0	0	0	0	1	0	1	3.6
145Nd	Nd	145	8.29	14.(2.)	14.(2.)	0.0	---	---	---	25.(7.)	5.(5.)	30.(9.)	42.(2.)
146Nd	Nd	146	17.19	8.7	8.7	0.0	0	0	0	9.5	0	9.5	1.4
148Nd	Nd	148	5.75	5.7	5.7	0.0	0	0	0	4.1	0	4.1	2.5
150Nd	Nd	150	5.63	5.3	5.3	0.0	0	0	0	3.5	0	3.5	1.2
Pm	Pm	---	---	12.6	12.6	0.0	(+/-)3.2(2.5)	(+/-)3.2(2.5)	0.0	20.0(1.3)	1.3(2.0)	21.3(1.5)	168.4(3.5)
Sm	Sm	---	---	0.80-1.65i	0.80	-1.65	---	---	---	0.422	39.(3.)	39.(3.)	5922.(56.)
144Sm	Sm	144	3.1	-3.(4.)	-3.(4.)	0.0	0	0	0	1.(3.)	0	1.(3.)	0.7
147Sm	Sm	147	15.1	14.(3.)	14.(3.)	0.0	(+/-)11.(7.)	(+/-)11.(7.)	0.0	25.(11.)	143(19.)	39.(16.)	57.(3.)
148Sm	Sm	148	11.3	-3.(4.)	-3.(4.)	0.0	0	0	0	1.(3.)	0	1.(3.)	2.4
149Sm	Sm	149	13.9	-19.2-11.7i	-19.2	-11.7	(+/-)31.4-10.3i	(+/-)31.4	-10.3	63.5	137.(5.)	200.(5.)	42080.(400.)
150Sm	Sm	150	7.4	14.(3.)	14.(3.)	0.0	0	0	0	25.(11.)	0	25.(11.)	104.(4.)
152Sm	Sm	152	26.6	-5.0	-5.0	0.0	0	0	0	3.1	0	3.1	206.(6.)
154Sm	Sm	154	22.6	9.3	9.3	0.0	0	0	0	11.(2.)	0	11.(2.)	8.4
Eu	Eu	---	---	7.22-1.26i	7.22	-1.26	---	---	---	6.57	2.5	9.2	4530.(40.)
151Eu	Eu	151	47.8	6.13-2.53i	6.13	-2.53	(+/-)4.5-2.14i	(+/-)4.5	-2.14	5.5	3.1	8.6	9100.(100.)
153Eu	Eu	153	52.2	8.22	8.22	0.0	(+/-)3.2	(+/-)3.2	0.0	8.5	1.3	9.8	312.(7.)
Gd	Gd	---	---	6.5-13.82i	6.5	-13.82	---	---	---	29.3	151.(2.)	180.(2.)	49700.(125.)
152Gd	Gd	152	0.2	10.(3.)	10.(3.)	0.0	0	0	0	13.(8.)	0	13.(8.)	735.(20.)
154Gd	Gd	154	2.1	10.(3.)	10.(3.)	0.0	0	0	0	13.(8.)	0	13.(8.)	85.(12.)
