Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
41K	K	41	6.73	2.69	2.69	0.0	1.5	1.5	0.0	0.91	0.3	1.2	1.46
Ca	Ca	---	---	4.70	4.70	0.0	---	---	---	2.78	0.05	2.83	0.43
40Ca	Ca	40	96.941	4.80	4.80	0.0	0	0	0	2.9	0	2.9	0.41
42Ca	Ca	42	0.647	3.36	3.36	0.0	0	0	0	1.42	0	1.42	0.68
43Ca	Ca	43	0.135	-1.56	-1.56	0.0	---	---	---	0.31	0.5	0.8	6.2
44Ca	Ca	44	2.086	1.42	1.42	0.0	0	0	0	0.25	0	0.25	0.88
46Ca	Ca	46	0.004	3.6	3.6	0.0	0	0	0	1.6	0	1.6	0.74
48Ca	Ca	48	0.187	0.39	0.39	0.0	0	0	0	0.019	0	0.019	1.09
Sc	Sc	---	100	12.29	12.29	0.0	-6.0	-6.0	0.0	19	4.5	23.5	27.5
Ti	Ti	---	---	-3.438	-3.438	0.0	---	---	---	1.485	2.87	4.35	6.09
46Ti	Ti	46	8.2	4.93	4.93	0.0	0	0	0	3.05	0	3.05	0.59
47Ti	Ti	47	7.4	3.63	3.63	0.0	-3.5	-3.5	0.0	1.66	1.5	3.2	1.7
48Ti	Ti	48	73.8	-6.08	-6.08	0.0	0	0	0	4.65	0	4.65	7.84
49Ti	Ti	49	5.4	1.04	1.04	0.0	5.1	5.1	0.0	0.14	3.3	3.4	2.2
50Ti	Ti	50	5.2	6.18	6.18	0.0	0	0	0	4.8	0	4.8	0.179
V	V	---	---	-0.3824	-0.3824	0.0	---	---	---	0.0184	5.08	5.1	5.08
50V	V	50	0.25	7.6	7.6	0.0	---	---	---	7.3(1.1)	0.5	7.8(1.0)	60.(40.)
51V	V	51	99.75	-0.402	-0.402	0.0	6.35	6.35	0.0	0.0203	5.07	5.09	4.9
Cr	Cr	---	---	3.635	3.635	0.0	---	---	---	1.66	1.83	3.49	3.05
50Cr	Cr	50	4.35	-4.50	-4.50	0.0	0	0	0	2.54	0	2.54	15.8
52Cr	Cr	52	83.79	4.920	4.920	0.0	0	0	0	3.042	0	3.042	0.76
53Cr	Cr	53	9.5	-4.20	-4.20	0.0	6.87	6.87	0.0	2.22	5.93	8.15	18.1(1.5)
54Cr	Cr	54	2.36	4.55	4.55	0.0	0	0	0	2.6	0	2.6	0.36
Mn	Mn	---	100	-3.73	-3.73	0.0	1.79	1.79	0.0	1.75	0.4	2.15	13.3
Fe	Fe	---	---	9.45	9.45	0.0	---	---	---	11.22	0.4	11.62	2.56
54Fe	Fe	54	5.8	4.2	4.2	0.0	0	0	0	2.2	0	2.2	2.25
56Fe	Fe	56	91.7	9.94	9.94	0.0	0	0	0	12.42	0	12.42	2.59
