Element	A	Atomic_mass (u)	Abundance										
Te	99	98.906255	---										
Te	100	99.907658	---										
Ru	94	93.911360	---										
Ru	95	94.910413	---										
Ru	96	95.907598	0.055										
Ru	97	96.907555	---										
Ru	98	97.905287	0.0186										
Ru	99	98.905939	0.128										
Ru	100	99.904219	0.126										
Ru	101	100.905582	0.171										
Ru	102	101.904349	0.316										
Ru	103	102.906324	---										
Ru	104	103.905433	0.186										
Ru	105	104.907753	---										
Rh	101	100.906164	---										
Rh	102	101.906843	---										
Rh	103	102.905504	1										
Rh	104	103.906656	---										
Rh	105	104.905694	---										
Pd	100	99.908506	---										
Pd	101	100.908289	---										
Pd	102	101.905609	0.0102										
Pd	103	102.906087	---										
Pd	104	103.904036	0.1114										
Pd	105	104.905085	0.2233										
Pd	106	105.903486	0.2733										
Pd	107	106.905133	---										
Pd	108	107.903892	0.2646										
Pd	109	108.905950	---										
Pd	110	109.905153	0.1172										
Pd	111	110.907671	---										
Ag	105	104.906529	---										
Ag	106	105.906669	---										
Ag	107	106.905097	0.5184										
Ag	108	107.905956	---										
Ag	109	108.904752	0.4816										
Ag	110	109.906107	---										
Cd	104	103.909849	---										
Cd	105	104.909468	---										
Cd	106	105.906459	0.0125										
Cd	107	106.906618	---										
Cd	108	107.904184	0.0089										
Cd	109	108.904982	---										
Cd	110	109.903002	0.125										
Cd	111	110.904178	0.128										
Cd	112	111.902758	0.241										
Cd	113	112.904402	0.122										
Cd	114	113.903359	0.287										
Cd	115	114.905431	---										
Cd	116	115.904756	0.075										
Cd	117	116.907219	---										
In	111	110.905103	---										
In	112	111.905532	---										
In	113	112.904058	0.0429										
In	114	113.904914	---										
In	115	114.903878	0.9571										
In	116	115.905260	---										
Sn	110	109.907843	---										
Sn	111	110.907734	---										
Sn	112	111.904818	0.0097										
Sn	113	112.905171	---										
Sn	114	113.902779	0.0066										
Sn	115	114.903342	0.0034										
Sn	116	115.901741	0.1454										
Sn	117	116.902952	0.0768										
Sn	118	117.901603	0.2422										
Sn	119	118.903308	0.0859										
Sn	120	119.902195	0.3258										
Sn	121	120.904235	---										
Sn	122	121.903439	0.0463										
Sn	123	122.905721	---										
Sn	124	123.905274	0.0579										
Sn	125	124.907784	---										
Sn	126	125.907653	---										
Sb	119	118.903942	---										
Sb	120	119.905072	---										
Sb	121	120.903816	0.5721										
Sb	122	121.905174	---										
Sb	123	122.904214	0.4279										
Sb	124	123.905936	---										
Sb	125	124.905254	---										
Te	118	117.905828	---										
Te	119	118.906404	---										
Te	120	119.904020	0.0009										
Te	121	120.904936	---										
Te	122	121.903044	0.0255										
Te	123	122.904270	0.0089										
Te	124	123.902818	0.0474										
Te	125	124.904431	0.0707										
Te	126	125.903312	0.1884										
Te	127	126.905226	---										
Te	128	127.904463	0.3174										
Te	129	128.906598	---										
Te	130	129.906224	0.3408										
Te	131	130.908524	---										
I	125	124.9046302	---										
I	126	125.905624	---										
I	127	126.904473	---										
I	128	127.905809	---										
I	129	128.904988	---										
I	130	129.906674	---										
Xe	122	121.908368	---										
Xe	123	122.908482	---										
Xe	124	123.905893	0.00095										
Xe	125	124.906395	---										
Xe	126	125.904274	0.00089										
Xe	127	126.905184	---										
Xe	128	127.903531	0.0191										
Xe	129	128.904779	0.264										
Xe	130	129.903508	0.0407										
Xe	131	130.905082	0.2123										
Xe	132	131.904153	0.2691										
Xe	133	132.905911	---										
Xe	134	133.905394	0.1044										
Xe	135	134.907227	---										
Xe	136	135.907219	0.0886										
Xe	137	136.911562	---										
Cs	131	130.905464	---										
Cs	132	131.906434	---										
Cs	133	132.905452	1										
Cs	134	133.906718	---										
Cs	135	134.905977	---										
Cs	136	135.907312	---										
Ba	128	127.908318	---										
Ba	129	128.908679	---										
Ba	130	129.906321	0.00106										
Ba	131	130.906941	---										
Ba	132	131.905061	0.00101										
Ba	133	132.906007	---										
Ba	134	133.904508	0.0242										
Ba	135	134.905689	0.0659										
Ba	136	135.904576	0.0785										
Ba	137	136.905827	0.1123										
Ba	138	137.905247	0.717										
Ba	139	138.908841	---										
La	136	135.907636	---										
La	137	136.906494	---										
La	138	137.907112	0.0009										
La	139	138.906353	0.9991										
La	140	139.909478	---										
