Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
30	Zn	67	66.927127	4.1	7.56	0.08	-1.50	0.07	0.0	0	6.8	0.8	0.28	3	0.01	
30	Zn	68	67.924844	18.8	6.03	0.03	0	0	0	0	1.1	0.1	0	0	1	
30	Zn	70	69.925319	0.6	6.	1	0	0	0	0	0.092	0.005	0	0	1	
31	Ga	---	69.723	---	7.288	0.002	---	0	---	0	2.75	0.03	0.16	3	0.01	
31	Ga	69	68.925574	60.1	7.88	0.02	-0.85	0.05	0.0	0	2.18	0.05	0.091	11	0.001	
31	Ga	71	70.924701	39.9	6.40	0.03	-0.82	0.04	0.0	0	3.61	0.1	0.084	8	0.001	
32	Ge	---	72.64	---	8.185	0.02	---	0	---	0	2.20	0.04	0.18	7	0.01	
32	Ge	70	69.924247	20.5	10.0	0.1	0	0	0	0	3.0	0.2	0	0	1	
32	Ge	72	71.922076	27.4	8.51	0.1	0	0	0	0	0.8	0.2	0	0	1	
32	Ge	73	72.923459	7.8	5.02	0.04	3.4	0.3	0.0	0	15.1	0.4	1.5	3	0.1	
32	Ge	74	73.921178	36.5	7.58	0.1	0	0	0	0	0.4	0.2	0	0	1	
32	Ge	76	75.921403	7.8	8.2	1.5	0	0	0	0	0.16	0.02	0	0	1	
33	As	---	74.9216	100	6.58	0.01	-0.69	0.06	0.0	0	4.5	0.1	0.060	10	0.001	
34	Se	---	78.96	---	7.970	0.009	---	0	---	0	11.7	0.2	0.32	6	0.01	
34	Se	74	73.922476	0.9	0.8	3	0	0	0	0	51.8	1.2	0	0	1	
34	Se	76	75.919214	9	12.2	0.1	0	0	0	0	85	7	0	0	1	
34	Se	77	76.919914	7.6	8.25	0.08	0.6	1.6	0.0	0	42	4	0.05	26	0.01	
34	Se	78	77.917309	23.5	8.24	0.09	0	0	0	0	0.43	0.02	0	0	1	
34	Se	80	79.916521	49.6	7.48	0.03	0	0	0	0	0.61	0.05	0	0	1	
